"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"25","Brock Purdy",2023,2022,0.95642051134422,0.295655120229384,87.4,3.9470901392358,13.1,618,0.978506226093028,0.224856950764192,84.0822580645161,3.3169739656052,0.133720930232558,1827
"26","Tom Brady",2012,2000,0.955709741420825,0.263123889679341,90.2,1.12008277811832,14.7,765,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"27","Jordan Love",2025,2020,0.954596592598621,0.275082916347468,88.8,5.27583381248211,10.5,542,0.946779582454491,0.165481911045013,81.1523153252481,1.86630226060992,0.112540192926045,1843
"28","Peyton Manning",2006,1998,0.954481424842601,0.233465095322012,92.6,4.27358943985232,9.6,738,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"29","Peyton Manning",2009,1998,0.952998819885705,0.273785746247321,88.5,6.45492638713831,8.8,715,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"30","Peyton Manning",2012,1998,0.950555980802475,0.238805916914346,91.1,6.97642842226962,18.3,655,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"31","Philip Rivers",2010,2004,0.950461543315138,0.233118794828845,91.6,6.07112193978489,18.4,591,0.917394847674772,0.140416573109404,78.8187452677123,3.3383302806734,0.156499520919834,9390
"32","Aaron Rodgers",2013,2005,0.947056311642483,0.287191292071348,85.8,6.21222561461918,22.5,360,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"33","Tom Brady",2020,2000,0.945522423790861,0.201828353085245,93.3,2.37841611895068,14.6,780,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"34","Aaron Rodgers",2010,2005,0.945282373037859,0.222958126671199,91.3,6.17488976692993,19.7,695,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"35","Aaron Rodgers",2016,2005,0.945123912891587,0.221477253333564,91.4,3.36102683235098,17.9,831,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"36","Russell Wilson",2012,2012,0.944463040502289,0.228533518856712,90.6,5.0575583678695,18.9,553,0.906928024300898,0.0941193665854502,81.7031982670744,4.81271859477548,0.19652448657188,8157
"37","Philip Rivers",2013,2004,0.943217036771225,0.251566394455441,88.2,8.0150428424657,15.9,641,0.917394847674772,0.140416573109404,78.8187452677123,3.3383302806734,0.156499520919834,9390
"38","Deshaun Watson",2020,2017,0.939526281667335,0.196136565679548,92.5,6.52254901356269,20.8,656,0.862672084678186,0.0777306943763373,78.5163334462894,2.46797888280481,0.216765453005927,3074
"39","Josh Allen",2020,2018,0.93942803449169,0.219812314246956,90.3,5.97522221562,11.8,767,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"40","Brett Favre",2009,NA,0.939219299605997,0.21607341775875,90.6,5.22046492776679,22.3,641,0.709696801495401,0.0547414158678799,69.6072990126939,1.31839030701737,0.166666666666667,2855
"41","Josh Allen",2021,2018,0.938871584367103,0.212018080927443,90.9,2.8908279983426,10.6,793,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"42","Peyton Manning",2008,1998,0.938604293862292,0.21901375742829,90.2,4.29045372589269,8.2,616,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"43","Matthew Stafford",2025,2009,0.937990982285182,0.199153421025822,91.9,0.734178499243725,12.1,755,0.848358569582663,0.0779857511209702,77.2090909090909,-1.07672975651007,0.180039138943249,10152
"44","Josh Allen",2023,2018,0.936662663068128,0.195091408230668,92,4.4657821115715,10,732,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"45","Aaron Rodgers",2021,2005,0.93324004286324,0.215889725771951,89.4,5.65083214746063,21.6,612,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"46","Joe Burrow",2024,2020,0.931990712949555,0.164353964278794,93.9,6.78678849462871,19.4,725,0.96144033799869,0.11969978598596,88.4529583211892,4.27018863413141,0.222836095764273,3504
"47","Drew Brees",2019,2001,0.930694364601628,0.195328241052607,90.8,6.19660398221436,14,427,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
